"Arsenal","Man City","H","H","H"
"Man City","Arsenal","H","H","H"
"Man City","Arsenal","H","A","H"
"Arsenal","Man City","H","H","H"
"Man City","Arsenal","A","H","A"
"Man City","Chelsea","H","H","H"
"Chelsea","Man City","H","H","H"
"Chelsea","Man City","H","H","H"
"Chelsea","Man City","H","A","H"
"Man City","Chelsea","A","H","A"
"Chelsea","Man City","H","H","H"
"Man City","Man United","A","H","H"
"Man United","Man City","H","A","H"
"Man United","Man City","H","H","H"
"Man City","Man United","H","A","A"
"Man United","Man City","H","H","H"
"Man City","Man United","A","A","A"
"Man City","Tottenham","H","H","H"
"Man City","Tottenham","H","H","H"
"Man City","Tottenham","H","A","H"
"Tottenham","Man City","H","H","H"
"Tottenham","Man City","H","H","H"
"Man City","Tottenham","H","A","H"
"Man City","Liverpool","H","H","H"
"Liverpool","Man City","H","H","H"
"Man City","Liverpool","A","A","A"
"Everton","Man City","A","H","A"
"Everton","Man City","H","H","A"
"Man City","Everton","H","A","H"
"Man City","Everton","H","A","H"
"Everton","Man City","H","H","A"
"Everton","Man City","H","A","H"
"Man City","Everton","H","A","H"
"Aston Villa","Man City","A","A","A"
"Man City","Aston Villa","H","H","H"
"Aston Villa","Man City","H","H","A"
"Man City","Aston Villa","H","H","H"
"Man City","Aston Villa","D","H","H"
"Man City","Aston Villa","A","H","H"
